Date,Price,Open,High,Low,Vol.,Change %,,,,,,,
11/27/2024,"13,152.08","13,152.08","13,152.08","13,152.08",,-0.37%,,,,,,,
11/26/2024,"13,201.47","13,201.47","13,201.47","13,201.47",,0.58%,,,,,,,
11/25/2024,"13,125.46","13,125.46","13,125.46","13,125.46",,0.30%,,,,,,,
11/22/2024,"13,085.86","13,085.86","13,085.86","13,085.86",,0.35%,,,,,,,
11/21/2024,"13,040.08","13,040.08","13,040.08","13,040.08",,0.55%,,,,,,,
11/20/2024,"12,968.85","12,968.85","12,968.85","12,968.85",,0.01%,,,,,,,
11/19/2024,"12,968.16","12,968.16","12,968.16","12,968.16",,0.40%,,,,,,,
11/18/2024,"12,916.80","12,916.80","12,916.80","12,916.80",,0.41%,,,,,,,
11/15/2024,"12,864.42","12,864.42","12,864.42","12,864.42",,-1.31%,,,,,,,
11/14/2024,"13,034.79","13,034.79","13,034.79","13,034.79",,-0.59%,,,,,,,
11/13/2024,"13,112.57","13,112.57","13,112.57","13,112.57",,0.03%,,,,,,,
11/12/2024,"13,108.95","13,108.95","13,108.95","13,108.95",,-0.28%,,,,,,,
11/11/2024,"13,146.20","13,146.20","13,146.20","13,146.20",,0.10%,,,,,,,
11/08/2024,"13,133.47","13,133.47","13,133.47","13,133.47",,0.40%,,,,,,,
11/07/2024,"13,081.53","13,081.53","13,081.53","13,081.53",,0.75%,,,,,,,
11/06/2024,"12,984.73","12,984.73","12,984.73","12,984.73",,2.53%,,,,,,,
11/05/2024,"12,664.32","12,664.32","12,664.32","12,664.32",,1.23%,,,,,,,
11/04/2024,"12,510.73","12,510.73","12,510.73","12,510.73",,-0.28%,,,,,,,
11/01/2024,"12,545.40","12,545.40","12,545.40","12,545.40",,0.41%,,,,,,,
10/31/2024,"12,493.74","12,493.74","12,493.74","12,493.74",,-1.85%,,,,,,,
10/30/2024,"12,729.73","12,729.73","12,729.73","12,729.73",,-0.33%,,,,,,,
10/29/2024,"12,771.80","12,771.80","12,771.80","12,771.80",,0.16%,,,,,,,
10/28/2024,"12,751.22","12,751.22","12,751.22","12,751.22",,0.27%,,,,,,,
10/25/2024,"12,717.34","12,717.34","12,717.34","12,717.34",,-0.03%,,,,,,,
10/24/2024,"12,721.05","12,721.05","12,721.05","12,721.05",,0.21%,,,,,,,
10/23/2024,"12,693.82","12,693.82","12,693.82","12,693.82",,-0.92%,,,,,,,
10/22/2024,"12,811.36","12,811.36","12,811.36","12,811.36",,-0.05%,,,,,,,
10/21/2024,"12,817.39","12,817.39","12,817.39","12,817.39",,-0.18%,,,,,,,
10/18/2024,"12,840.30","12,840.30","12,840.30","12,840.30",,0.40%,,,,,,,
10/17/2024,"12,788.78","12,788.78","12,788.78","12,788.78",,-0.02%,,,,,,,
10/16/2024,"12,790.84","12,790.84","12,790.84","12,790.84",,0.47%,,,,,,,
10/15/2024,"12,731.10","12,731.10","12,731.10","12,731.10",,-0.75%,,,,,,,
10/14/2024,"12,827.63","12,827.63","12,827.63","12,827.63",,0.77%,,,,,,,
10/11/2024,"12,729.52","12,729.52","12,729.52","12,729.52",,0.61%,,,,,,,
10/10/2024,"12,652.84","12,652.84","12,652.84","12,652.84",,-0.19%,,,,,,,
10/09/2024,"12,677.16","12,677.16","12,677.16","12,677.16",,0.71%,,,,,,,
10/08/2024,"12,587.25","12,587.25","12,587.25","12,587.25",,0.97%,,,,,,,
10/07/2024,"12,466.41","12,466.41","12,466.41","12,466.41",,-0.96%,,,,,,,
